event_id_cnty,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,notes,fatalities,timestamp
SUD897,2023-05-23,2023,Explosions/Remote violence,Air/drone strike,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,Gedaref,,,Gedaref,14.2002,35.2039,1,Radio Ergo,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in Gedaref, Sudan.",0,20230523
SOU206,2023-05-24,2023,Battles,Armed clash,South Sudan People's Defence Forces,,1,National Salvation Front,,2,12,South Sudan,Unity,,,Bentiu,9.5508,29.8237,1,Local sources,"Battles between South Sudan People's Defence Forces and National Salvation Front in Bentiu, South Sudan.",5,20230524
SUD429,2023-05-24,2023,Protests,Peaceful protest,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,Blue Nile,,,Ed Damazin,12.1019,35.0129,1,Radio Ergo,"Protests between Rioters (Sudan) and Sudan Armed Forces in Ed Damazin, Sudan.",3,20230524
DEM949,2023-05-24,2023,Battles,Armed clash,Armed Forces of the DRC (FARDC),,1,FDLR,,2,12,Democratic Republic of Congo,North Kivu,,,Beni,0.1056,29.9392,1,BBC,"Battles between Armed Forces of the DRC (FARDC) and FDLR in Beni, Democratic Republic of Congo.",9,20230524
SOM994,2023-05-24,2023,Battles,Government regains territory,Al-Shabaab,,2,ATMIS Forces,,1,21,Somalia,Galgaduud,,,Dhusamareb,5.068,46.4695,1,Local sources,"Battles between Al-Shabaab and ATMIS Forces in Dhusamareb, Somalia.",13,20230524
SUD1104,2023-05-24,2023,Explosions/Remote violence,Shelling/artillery/missile attack,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,South Darfur,,,Nyala,12.149,24.8308,1,Radio Ergo,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in Nyala, Sudan.",3,20230524
ETH993,2023-05-25,2023,Protests,Peaceful protest,Protesters (Ethiopia),,6,Ethiopian National Defense Force,,1,61,Ethiopia,Oromia,,,Jimma,8.0176,37.0162,1,Local sources,"Protests between Protesters (Ethiopia) and Ethiopian National Defense Force in Jimma, Ethiopia.",0,20230525
DEM276,2023-05-26,2023,Violence against civilians,Looting/property destruction,FDLR,,2,Civilians (Somalia),,7,27,Democratic Republic of Congo,Ituri,,,Bunia,1.2756,30.4159,1,Radio Ergo,"Violence against civilians between FDLR and Civilians (Somalia) in Bunia, Democratic Republic of Congo.",7,20230526
DEM786,2023-05-26,2023,Battles,Government regains territory,MONUSCO Forces,,1,M23,,2,12,Democratic Republic of Congo,North Kivu,,,Beni,0.6503,29.3358,1,Radio Ergo,"Battles between MONUSCO Forces and M23 in Beni, Democratic Republic of Congo.",9,20230526
SOM1017,2023-05-26,2023,Explosions/Remote violence,Shelling/artillery/missile attack,Al-Shabaab,,2,ATMIS Forces,,1,21,Somalia,Lower Shabelle,,,Afgooye,1.9311,45.2619,1,Radio Ergo,"Explosions/Remote violence between Al-Shabaab and ATMIS Forces in Afgooye, Somalia.",2,20230526
SUD124,2023-05-27,2023,Riots,Violent demonstration,Rioters (Sudan),,5,Rapid Support Forces,,3,53,Sudan,North Darfur,,,El Fasher,13.9373,25.5501,1,Local sources,"Riots between Rioters (Sudan) and Rapid Support Forces in El Fasher, Sudan.",0,20230527
SUD166,2023-05-27,2023,Explosions/Remote violence,IED/landmine/UVIED,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,Khartoum,,,Khartoum,15.6613,32.5563,1,Radio Ergo,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in Khartoum, Sudan.",7,20230527
SUD1141,2023-05-27,2023,Explosions/Remote violence,Shelling/artillery/missile attack,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,West Darfur,,,El Geneina,13.2311,22.2664,1,Local sources,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in El Geneina, Sudan.",0,20230527
SOM572,2023-05-28,2023,Violence against civilians,Abduction/forced disappearance,Mai Mai Militia,,4,Civilians (Somalia),,7,47,Somalia,Middle Juba,,,Bu'aale,1.3356,42.4242,1,Radio Ergo,"Violence against civilians between Mai Mai Militia and Civilians (Somalia) in Bu'aale, Somalia.",15,20230528
SUD608,2023-05-28,2023,Violence against civilians,Attack,Rapid Support Forces,,3,Sudanese Armed Civilians,,7,37,Sudan,Khartoum,,,Khartoum,15.4447,32.4387,1,Local sources,"Violence against civilians between Rapid Support Forces and Sudanese Armed Civilians in Khartoum, Sudan.",8,20230528
DEM1184,2023-05-28,2023,Violence against civilians,Attack,FDLR,,2,Civilians (Somalia),,7,27,Democratic Republic of Congo,South Kivu,,,Bukavu,-2.3571,28.9651,1,Local sources,"Violence against civilians between FDLR and Civilians (Somalia) in Bukavu, Democratic Republic of Congo.",9,20230528
SOM112,2023-05-29,2023,Battles,Armed clash,Al-Shabaab,,2,Somalia National Army,,1,21,Somalia,Banadir,,,Mogadishu,2.51,45.7015,1,BBC,"Battles between Al-Shabaab and Somalia National Army in Mogadishu, Somalia.",2,20230529
SOM1099,2023-05-30,2023,Violence against civilians,Attack,Oromo Liberation Army,,2,Civilians (Somalia),,7,27,Somalia,Lower Juba,,,Kismayo,-0.1756,42.146,1,BBC,"Violence against civilians between Oromo Liberation Army and Civilians (Somalia) in Kismayo, Somalia.",0,20230530
SOM343,2023-06-01,2023,Violence against civilians,Attack,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Middle Juba,,,Bu'aale,1.4237,42.4047,1,Reuters,"Violence against civilians between Al-Shabaab and Civilians (Somalia) in Bu'aale, Somalia.",6,20230601
SOM548,2023-06-01,2023,Battles,Non-state actor overtakes territory,Al-Shabaab,,2,Kenya Defence Forces,,1,21,Somalia,Middle Juba,,,Bu'aale,0.982,42.7166,1,Reuters,"Battles between Al-Shabaab and Kenya Defence Forces in Bu'aale, Somalia.",3,20230601
SUD647,2023-06-01,2023,Battles,Armed clash,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,Gedaref,,,Gedaref,13.6171,35.3274,1,AFP,"Battles between Sudan Armed Forces and Rapid Support Forces in Gedaref, Sudan.",2,20230601
ETH653,2023-06-01,2023,Battles,Armed clash,Ethiopian National Defense Force,,1,Oromo Liberation Army,,2,12,Ethiopia,Oromia,,,Jimma,7.5237,36.803,1,Reuters,"Battles between Ethiopian National Defense Force and Oromo Liberation Army in Jimma, Ethiopia.",6,20230601
DEM737,2023-06-01,2023,Violence against civilians,Abduction/forced disappearance,Mai Mai Militia,,4,Civilians (Somalia),,7,47,Democratic Republic of Congo,North Kivu,,,Goma,-1.1765,29.555,1,BBC,"Violence against civilians between Mai Mai Militia and Civilians (Somalia) in Goma, Democratic Republic of Congo.",4,20230601
SOM974,2023-06-01,2023,Battles,Armed clash,Al-Shabaab,,2,Jubbaland Security Forces,,1,21,Somalia,Banadir,,,Mogadishu,1.5122,45.4572,1,BBC,"Battles between Al-Shabaab and Jubbaland Security Forces in Mogadishu, Somalia.",1,20230601
ETH440,2023-06-03,2023,Battles,Government regains territory,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,SNNPR,,,Hawassa,7.3909,38.2347,1,UN OCHA,"Battles between Ethiopian National Defense Force and Tigray People's Liberation Front in Hawassa, Ethiopia.",2,20230603
SUD1084,2023-06-03,2023,Riots,Violent demonstration,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,Gedaref,,,Gedaref,13.9532,35.6155,1,AFP,"Riots between Rioters (Sudan) and Sudan Armed Forces in Gedaref, Sudan.",4,20230603
SOM1021,2023-06-04,2023,Strategic developments,Non-violent transfer of territory,Somalia National Army,,1,Al-Shabaab,,2,12,Somalia,Lower Shabelle,,,Afgooye,2.4629,44.9774,1,AFP,"Strategic developments between Somalia National Army and Al-Shabaab in Afgooye, Somalia.",0,20230604
SOM610,2023-06-05,2023,Violence against civilians,Abduction/forced disappearance,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Banadir,,,Mogadishu,1.7239,45.1548,1,Local sources,"Violence against civilians between Al-Shabaab and Civilians (Somalia) in Mogadishu, Somalia.",4,20230605
SOM51,2023-06-06,2023,Battles,Government regains territory,Al-Shabaab,,2,Jubbaland Security Forces,,1,21,Somalia,Galgaduud,,,Dhusamareb,5.2262,46.5858,1,Local sources,"Battles between Al-Shabaab and Jubbaland Security Forces in Dhusamareb, Somalia.",5,20230606
SOM563,2023-06-07,2023,Explosions/Remote violence,IED/landmine/UVIED,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Bay,,,Baidoa,3.0678,43.2849,1,AFP,"Explosions/Remote violence between Al-Shabaab and Civilians (Somalia) in Baidoa, Somalia.",1,20230607
ETH584,2023-06-07,2023,Violence against civilians,Looting/property destruction,Oromo Liberation Army,,2,Civilians (Somalia),,7,27,Ethiopia,SNNPR,,,Hawassa,7.0923,38.5025,1,Radio Ergo,"Violence against civilians between Oromo Liberation Army and Civilians (Somalia) in Hawassa, Ethiopia.",5,20230607
SUD740,2023-06-07,2023,Explosions/Remote violence,Air/drone strike,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,West Darfur,,,El Geneina,12.9971,22.5593,1,Local sources,"Explosions/Remote violence between Sudan Armed Forces and Rapid Support Forces in El Geneina, Sudan.",0,20230607
ETH848,2023-06-07,2023,Battles,Non-state actor overtakes territory,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Amhara,,,Gondar,12.9357,37.2679,1,Local sources,"Battles between Ethiopian National Defense Force and Tigray People's Liberation Front in Gondar, Ethiopia.",7,20230607
SUD931,2023-06-07,2023,Protests,Protest with intervention,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,South Darfur,,,Nyala,11.4886,25.4163,1,BBC,"Protests between Rioters (Sudan) and Sudan Armed Forces in Nyala, Sudan.",2,20230607
ETH1012,2023-06-08,2023,Battles,Armed clash,Ethiopian National Defense Force,,1,Oromo Liberation Army,,2,12,Ethiopia,Tigray,,,Mekelle,12.9646,39.2244,1,BBC,"Battles between Ethiopian National Defense Force and Oromo Liberation Army in Mekelle, Ethiopia.",1,20230608
SUD417,2023-06-10,2023,Explosions/Remote violence,IED/landmine/UVIED,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,South Darfur,,,Nyala,12.2181,24.3242,1,AFP,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in Nyala, Sudan.",2,20230610
SUD997,2023-06-10,2023,Explosions/Remote violence,IED/landmine/UVIED,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,South Darfur,,,Nyala,12.2026,24.8616,1,BBC,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in Nyala, Sudan.",4,20230610
SOM1163,2023-06-10,2023,Violence against civilians,Abduction/forced disappearance,FDLR,,2,Civilians (Somalia),,7,27,Somalia,Banadir,,,Mogadishu,1.8007,45.0548,1,Reuters,"Violence against civilians between FDLR and Civilians (Somalia) in Mogadishu, Somalia.",3,20230610
ETH180,2023-06-11,2023,Explosions/Remote violence,IED/landmine/UVIED,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Tigray,,,Mekelle,13.6135,39.8681,1,AFP,"Explosions/Remote violence between Ethiopian National Defense Force and Tigray People's Liberation Front in Mekelle, Ethiopia.",3,20230611
SUD309,2023-06-11,2023,Battles,Non-state actor overtakes territory,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,Khartoum,,,Khartoum,15.5238,32.4507,1,AFP,"Battles between Sudan Armed Forces and Rapid Support Forces in Khartoum, Sudan.",7,20230611
SUD1035,2023-06-12,2023,Protests,Peaceful protest,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,Blue Nile,,,Ed Damazin,11.844,34.3908,1,Reuters,"Protests between Rioters (Sudan) and Sudan Armed Forces in Ed Damazin, Sudan.",2,20230612
SUD183,2023-06-13,2023,Protests,Protest with intervention,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,North Darfur,,,El Fasher,13.3703,25.351,1,Reuters,"Protests between Rioters (Sudan) and Sudan Armed Forces in El Fasher, Sudan.",3,20230613
SUD374,2023-06-14,2023,Strategic developments,Agreement,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,West Darfur,,,El Geneina,12.824,22.2467,1,Radio Ergo,"Strategic developments between Sudan Armed Forces and Rapid Support Forces in El Geneina, Sudan.",0,20230614
SUD405,2023-06-14,2023,Explosions/Remote violence,Air/drone strike,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,North Darfur,,,El Fasher,13.3992,25.7617,1,BBC,"Explosions/Remote violence between Sudan Armed Forces and Rapid Support Forces in El Fasher, Sudan.",9,20230614
SOM719,2023-06-14,2023,Violence against civilians,Attack,Oromo Liberation Army,,2,Civilians (Somalia),,7,27,Somalia,Hiraan,,,Beledweyne,4.4928,45.5307,1,UN OCHA,"Violence against civilians between Oromo Liberation Army and Civilians (Somalia) in Beledweyne, Somalia.",3,20230614
ETH783,2023-06-16,2023,Explosions/Remote violence,Suicide bomb,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,SNNPR,,,Hawassa,6.7296,38.5017,1,Radio Ergo,"Explosions/Remote violence between Ethiopian National Defense Force and Tigray People's Liberation Front in Hawassa, Ethiopia.",4,20230616
SUD54,2023-06-19,2023,Explosions/Remote violence,Air/drone strike,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,Gedaref,,,Gedaref,14.3699,35.1603,1,Radio Ergo,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in Gedaref, Sudan.",7,20230619
ETH434,2023-06-19,2023,Protests,Peaceful protest,Protesters (Ethiopia),,6,Ethiopian National Defense Force,,1,61,Ethiopia,Afar,,,Semera,11.5534,40.9948,1,BBC,"Protests between Protesters (Ethiopia) and Ethiopian National Defense Force in Semera, Ethiopia.",1,20230619
ETH23,2023-06-20,2023,Battles,Armed clash,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Amhara,,,Bahir Dar,12.02,36.9016,1,BBC,"Battles between Ethiopian National Defense Force and Tigray People's Liberation Front in Bahir Dar, Ethiopia.",7,20230620
SOM94,2023-06-20,2023,Strategic developments,Looting/property destruction,Somalia National Army,,1,Al-Shabaab,,2,12,Somalia,Lower Juba,,,Kismayo,-0.2834,42.4925,1,Reuters,"Strategic developments between Somalia National Army and Al-Shabaab in Kismayo, Somalia.",0,20230620
SUD267,2023-06-20,2023,Explosions/Remote violence,Suicide bomb,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,Blue Nile,,,Ed Damazin,11.6573,34.6549,1,Reuters,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in Ed Damazin, Sudan.",2,20230620
SOU329,2023-06-20,2023,Battles,Government regains territory,South Sudan People's Defence Forces,,1,National Salvation Front,,2,12,South Sudan,Upper Nile,,,Malakal,9.3611,31.8941,1,Local sources,"Battles between South Sudan People's Defence Forces and National Salvation Front in Malakal, South Sudan.",7,20230620
SUD879,2023-06-21,2023,Riots,Mob violence,Rioters (Sudan),,5,Rapid Support Forces,,3,53,Sudan,South Darfur,,,Nyala,12.085,24.3289,1,Local sources,"Riots between Rioters (Sudan) and Rapid Support Forces in Nyala, Sudan.",1,20230621
ETH247,2023-06-23,2023,Protests,Protest with intervention,Protesters (Ethiopia),,6,Ethiopian National Defense Force,,1,61,Ethiopia,SNNPR,,,Hawassa,6.9496,38.8018,1,Reuters,"Protests between Protesters (Ethiopia) and Ethiopian National Defense Force in Hawassa, Ethiopia.",1,20230623
SUD732,2023-06-23,2023,Riots,Mob violence,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,West Darfur,,,El Geneina,13.5679,22.3322,1,AFP,"Riots between Rioters (Sudan) and Sudan Armed Forces in El Geneina, Sudan.",2,20230623
SUD982,2023-06-23,2023,Explosions/Remote violence,Suicide bomb,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,South Darfur,,,Nyala,12.6504,25.3301,1,AFP,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in Nyala, Sudan.",3,20230623
SOM523,2023-06-24,2023,Violence against civilians,Abduction/forced disappearance,FDLR,,2,Civilians (Somalia),,7,27,Somalia,Banadir,,,Mogadishu,2.1872,45.7592,1,AFP,"Violence against civilians between FDLR and Civilians (Somalia) in Mogadishu, Somalia.",2,20230624
SUD1032,2023-06-24,2023,Protests,Peaceful protest,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,West Darfur,,,El Geneina,13.1722,22.3404,1,UN OCHA,"Protests between Rioters (Sudan) and Sudan Armed Forces in El Geneina, Sudan.",3,20230624
SOM1075,2023-06-24,2023,Battles,Armed clash,Al-Shabaab,,2,ATMIS Forces,,1,21,Somalia,Lower Shabelle,,,Afgooye,1.4816,44.6785,1,UN OCHA,"Battles between Al-Shabaab and ATMIS Forces in Afgooye, Somalia.",19,20230624
SUD679,2023-06-25,2023,Explosions/Remote violence,Air/drone strike,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,West Darfur,,,El Geneina,14.053,22.1336,1,Radio Ergo,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in El Geneina, Sudan.",7,20230625
SOM170,2023-06-26,2023,Battles,Armed clash,Al-Shabaab,,2,Somalia National Army,,1,21,Somalia,Lower Juba,,,Kismayo,-0.0675,41.8155,1,AFP,"Battles between Al-Shabaab and Somalia National Army in Kismayo, Somalia.",12,20230626
DEM43,2023-06-28,2023,Battles,Government regains territory,Armed Forces of the DRC (FARDC),,1,M23,,2,12,Democratic Republic of Congo,North Kivu,,,Rutshuru,-1.1922,29.4465,1,AFP,"Battles between Armed Forces of the DRC (FARDC) and M23 in Rutshuru, Democratic Republic of Congo.",13,20230628
SOM113,2023-06-28,2023,Battles,Non-state actor overtakes territory,Al-Shabaab,,2,Jubbaland Security Forces,,1,21,Somalia,Lower Shabelle,,,Afgooye,2.0104,45.1902,1,Reuters,"Battles between Al-Shabaab and Jubbaland Security Forces in Afgooye, Somalia.",0,20230628
SOM830,2023-06-28,2023,Battles,Armed clash,Al-Shabaab,,2,Jubbaland Security Forces,,1,21,Somalia,Galgaduud,,,Dhusamareb,5.5671,46.4363,1,AFP,"Battles between Al-Shabaab and Jubbaland Security Forces in Dhusamareb, Somalia.",10,20230628
ETH129,2023-06-29,2023,Battles,Non-state actor overtakes territory,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,SNNPR,,,Hawassa,7.1078,38.8507,1,Radio Ergo,"Battles between Ethiopian National Defense Force and Tigray People's Liberation Front in Hawassa, Ethiopia.",1,20230629
SOU325,2023-06-29,2023,Battles,Non-state actor overtakes territory,South Sudan People's Defence Forces,,1,SPLM-IO,,2,12,South Sudan,Western Equatoria,,,Yambio,4.5182,28.5804,1,Reuters,"Battles between South Sudan People's Defence Forces and SPLM-IO in Yambio, South Sudan.",4,20230629
DEM662,2023-06-29,2023,Battles,Non-state actor overtakes territory,Armed Forces of the DRC (FARDC),,1,M23,,2,12,Democratic Republic of Congo,Ituri,,,Bunia,1.5634,30.0843,1,BBC,"Battles between Armed Forces of the DRC (FARDC) and M23 in Bunia, Democratic Republic of Congo.",9,20230629
SOM870,2023-06-29,2023,Violence against civilians,Looting/property destruction,FDLR,,2,Civilians (Somalia),,7,27,Somalia,Banadir,,,Mogadishu,1.8033,45.8513,1,Local sources,"Violence against civilians between FDLR and Civilians (Somalia) in Mogadishu, Somalia.",9,20230629
SOM202,2023-06-30,2023,Violence against civilians,Abduction/forced disappearance,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Lower Juba,,,Kismayo,-0.3135,42.3578,1,Radio Ergo,"Violence against civilians between Al-Shabaab and Civilians (Somalia) in Kismayo, Somalia.",16,20230630
ETH320,2023-06-30,2023,Protests,Protest with intervention,Protesters (Ethiopia),,6,Amhara Regional Forces,,1,61,Ethiopia,Amhara,,,Gondar,12.7605,37.0346,1,UN OCHA,"Protests between Protesters (Ethiopia) and Amhara Regional Forces in Gondar, Ethiopia.",1,20230630
DEM364,2023-07-01,2023,Violence against civilians,Attack,Mai Mai Militia,,4,Civilians (Somalia),,7,47,Democratic Republic of Congo,North Kivu,,,Rutshuru,-1.3804,29.51,1,BBC,"Violence against civilians between Mai Mai Militia and Civilians (Somalia) in Rutshuru, Democratic Republic of Congo.",4,20230701
KEN404,2023-07-01,2023,Battles,Armed clash,Al-Shabaab,,2,Kenya Defence Forces,,1,21,Kenya,Wajir,,,Wajir,1.7328,39.9064,1,Reuters,"Battles between Al-Shabaab and Kenya Defence Forces in Wajir, Kenya.",1,20230701
SUD459,2023-07-02,2023,Battles,Armed clash,Rapid Support Forces,,3,Sudan People's Liberation Movement-North,,2,32,Sudan,Blue Nile,,,Ed Damazin,11.9741,34.2066,1,Radio Ergo,"Battles between Rapid Support Forces and Sudan People's Liberation Movement-North in Ed Damazin, Sudan.",5,20230702
ETH36,2023-07-03,2023,Strategic developments,Looting/property destruction,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Tigray,,,Mekelle,13.5592,39.1726,1,Radio Ergo,"Strategic developments between Ethiopian National Defense Force and Tigray People's Liberation Front in Mekelle, Ethiopia.",0,20230703
ETH836,2023-07-03,2023,Violence against civilians,Looting/property destruction,Fano (Amhara Militia),,3,Civilians (Somalia),,7,37,Ethiopia,Afar,,,Semera,11.6335,40.5699,1,Local sources,"Violence against civilians between Fano (Amhara Militia) and Civilians (Somalia) in Semera, Ethiopia.",4,20230703
ETH541,2023-07-04,2023,Protests,Protest with intervention,Protesters (Ethiopia),,6,Amhara Regional Forces,,1,61,Ethiopia,Tigray,,,Axum,13.8394,38.8881,1,BBC,"Protests between Protesters (Ethiopia) and Amhara Regional Forces in Axum, Ethiopia.",1,20230704
SOM625,2023-07-04,2023,Explosions/Remote violence,Air/drone strike,Al-Shabaab,,2,Somalia National Army,,1,21,Somalia,Bay,,,Baidoa,2.7426,43.2723,1,AFP,"Explosions/Remote violence between Al-Shabaab and Somalia National Army in Baidoa, Somalia.",6,20230704
SOM793,2023-07-04,2023,Explosions/Remote violence,Shelling/artillery/missile attack,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Lower Juba,,,Kismayo,-0.4557,42.6335,1,Reuters,"Explosions/Remote violence between Al-Shabaab and Civilians (Somalia) in Kismayo, Somalia.",0,20230704
SUD1137,2023-07-04,2023,Battles,Government regains territory,Rapid Support Forces,,3,Sudan People's Liberation Movement-North,,2,32,Sudan,South Darfur,,,Nyala,12.028,25.233,1,BBC,"Battles between Rapid Support Forces and Sudan People's Liberation Movement-North in Nyala, Sudan.",7,20230704
SUD420,2023-07-05,2023,Battles,Armed clash,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,Khartoum,,,Khartoum,15.9662,31.9723,1,UN OCHA,"Battles between Sudan Armed Forces and Rapid Support Forces in Khartoum, Sudan.",20,20230705
ETH595,2023-07-05,2023,Protests,Protest with intervention,Protesters (Ethiopia),,6,Amhara Regional Forces,,1,61,Ethiopia,Afar,,,Semera,12.5769,40.9386,1,UN OCHA,"Protests between Protesters (Ethiopia) and Amhara Regional Forces in Semera, Ethiopia.",0,20230705
DEM55,2023-07-06,2023,Battles,Government regains territory,Armed Forces of the DRC (FARDC),,1,M23,,2,12,Democratic Republic of Congo,Ituri,,,Bunia,1.408,30.3895,1,AFP,"Battles between Armed Forces of the DRC (FARDC) and M23 in Bunia, Democratic Republic of Congo.",3,20230706
ETH828,2023-07-08,2023,Protests,Protest with intervention,Protesters (Ethiopia),,6,Amhara Regional Forces,,1,61,Ethiopia,SNNPR,,,Hawassa,7.3418,38.4875,1,UN OCHA,"Protests between Protesters (Ethiopia) and Amhara Regional Forces in Hawassa, Ethiopia.",0,20230708
SOM998,2023-07-08,2023,Explosions/Remote violence,Air/drone strike,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Lower Juba,,,Kismayo,-0.222,42.2368,1,AFP,"Explosions/Remote violence between Al-Shabaab and Civilians (Somalia) in Kismayo, Somalia.",13,20230708
ETH1018,2023-07-08,2023,Explosions/Remote violence,Air/drone strike,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Oromia,,,Addis Ababa,9.2807,38.5454,1,AFP,"Explosions/Remote violence between Ethiopian National Defense Force and Tigray People's Liberation Front in Addis Ababa, Ethiopia.",1,20230708
ETH1111,2023-07-09,2023,Explosions/Remote violence,IED/landmine/UVIED,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Oromia,,,Jimma,7.7481,37.0253,1,Local sources,"Explosions/Remote violence between Ethiopian National Defense Force and Tigray People's Liberation Front in Jimma, Ethiopia.",9,20230709
SOM245,2023-07-11,2023,Violence against civilians,Looting/property destruction,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Lower Shabelle,,,Afgooye,2.0003,45.1091,1,Reuters,"Violence against civilians between Al-Shabaab and Civilians (Somalia) in Afgooye, Somalia.",3,20230711
SUD1067,2023-07-11,2023,Violence against civilians,Looting/property destruction,Rapid Support Forces,,3,Sudanese Armed Civilians,,7,37,Sudan,South Darfur,,,Nyala,11.7748,24.8291,1,Reuters,"Violence against civilians between Rapid Support Forces and Sudanese Armed Civilians in Nyala, Sudan.",0,20230711
SUD1074,2023-07-11,2023,Battles,Armed clash,Rapid Support Forces,,3,Sudan People's Liberation Movement-North,,2,32,Sudan,North Darfur,,,El Fasher,14.0599,25.2446,1,Local sources,"Battles between Rapid Support Forces and Sudan People's Liberation Movement-North in El Fasher, Sudan.",11,20230711
SUD226,2023-07-12,2023,Explosions/Remote violence,Suicide bomb,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,Khartoum,,,Khartoum,14.9517,32.6102,1,AFP,"Explosions/Remote violence between Sudan Armed Forces and Rapid Support Forces in Khartoum, Sudan.",11,20230712
SOU321,2023-07-12,2023,Battles,Armed clash,South Sudan People's Defence Forces,,1,SPLM-IO,,2,12,South Sudan,Western Equatoria,,,Yambio,4.4397,28.4078,1,BBC,"Battles between South Sudan People's Defence Forces and SPLM-IO in Yambio, South Sudan.",10,20230712
SOM671,2023-07-12,2023,Battles,Non-state actor overtakes territory,Al-Shabaab,,2,Somalia National Army,,1,21,Somalia,Hiraan,,,Beledweyne,5.0049,44.814,1,Radio Ergo,"Battles between Al-Shabaab and Somalia National Army in Beledweyne, Somalia.",12,20230712
DEM683,2023-07-13,2023,Battles,Government regains territory,Armed Forces of the DRC (FARDC),,1,M23,,2,12,Democratic Republic of Congo,Ituri,,,Bunia,1.8243,30.1398,1,Reuters,"Battles between Armed Forces of the DRC (FARDC) and M23 in Bunia, Democratic Republic of Congo.",4,20230713
SUD825,2023-07-13,2023,Violence against civilians,Looting/property destruction,Rapid Support Forces,,3,Sudanese Armed Civilians,,7,37,Sudan,West Darfur,,,El Geneina,13.8564,22.397,1,AFP,"Violence against civilians between Rapid Support Forces and Sudanese Armed Civilians in El Geneina, Sudan.",6,20230713
KEN145,2023-07-16,2023,Battles,Armed clash,Al-Shabaab,,2,Kenya Defence Forces,,1,21,Kenya,Wajir,,,Wajir,2.259,40.3267,1,Reuters,"Battles between Al-Shabaab and Kenya Defence Forces in Wajir, Kenya.",8,20230716
